0 : (0, 0, 315, 1142)
1 : (0, 1142, 1142, 1457)
2 : (0, 1457, 1558, 2359)
3 : (0, 2359, 904, 2875)
4 : (1558, 0, 2462, 516)
5 : (0, 2875, 848, 3149)
6 : (2462, 0, 2736, 848)
7 : (2736, 0, 3840, 588)
8 : (2736, 848, 3242, 1610)
9 : (3242, 1610, 5089, 2306)
10 : (5089, 0, 5546, 947)
11 : (5089, 2306, 5666, 2705)
12 : (0, 0, 399, 577)
13 : (0, 577, 2125, 1247)
14 : (0, 1247, 1455, 1872)
15 : (0, 1872, 2155, 2471)
16 : (0, 2471, 2155, 3070)
17 : (2155, 0, 4310, 599)
18 : (4310, 0, 4909, 2155)
19 : (4909, 0, 5489, 650)
20 : (4909, 2155, 5466, 2465)
21 : (5466, 2465, 6413, 3045)
22 : (0, 0, 580, 937)
23 : (0, 937, 717, 1377)
24 : (0, 1377, 1207, 2072)
25 : (0, 2072, 327, 2562)
26 : (0, 2562, 695, 2839)
27 : (1207, 0, 2484, 899)
28 : (2484, 0, 3761, 899)
29 : (2484, 899, 3431, 1356)
30 : (3431, 1356, 4238, 1882)
31 : (4238, 0, 5045, 526)
32 : (4238, 1882, 5045, 2408)
33 : (5045, 0, 5540, 1187)
34 : (5045, 2408, 6142, 2903)
35 : (0, 0, 495, 1097)
36 : (0, 1097, 1187, 1592)
37 : (0, 1592, 392, 1914)
38 : (0, 1914, 502, 2266)
39 : (0, 2266, 1075, 3009)
40 : (1187, 0, 1991, 359)
41 : (1991, 0, 3595, 544)
42 : (3595, 0, 5199, 544)
43 : (3595, 544, 5199, 1088)
44 : (5199, 0, 5903, 1431)
45 : (0, 0, 449, 968)
46 : (0, 968, 1567, 1292)
47 : (0, 1292, 1567, 1616)
48 : (0, 1616, 1567, 1940)
49 : (0, 1940, 1567, 2264)
50 : (0, 2264, 1400, 2728)
51 : (1567, 0, 2391, 502)
52 : (0, 2728, 527, 3030)
53 : (2391, 0, 3218, 559)
54 : (3218, 0, 4045, 559)
55 : (3218, 559, 4045, 1120)
56 : (4045, 0, 4872, 561)
57 : (4045, 1120, 4842, 1659)
58 : (4842, 1659, 5639, 2198)
59 : (5639, 0, 5998, 804)
60 : (5639, 2198, 6761, 2793)
61 : (0, 0, 831, 862)
62 : (0, 862, 1675, 1139)
63 : (0, 1139, 1675, 1662)
64 : (0, 1662, 1303, 2666)
65 : (1675, 0, 2978, 1004)
66 : (0, 2666, 740, 3111)
67 : (2978, 0, 4293, 592)
