PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;813;3210;-2;1;0
0;2;0;0;813;1604;28;2;1
0;3;0;1604;813;795;-2;2;1
0;4;0;1604;743;795;29;3;3
0;5;743;1604;70;795;-1;3;3
0;6;0;2399;813;811;-1;2;1
0;7;813;0;900;3210;-2;1;0
0;8;813;0;900;795;-2;2;7
0;9;813;0;743;795;30;3;8
0;10;1556;0;157;795;-1;3;8
0;11;813;795;900;662;-2;2;7
0;12;813;795;852;662;14;3;11
0;13;1665;795;48;662;-1;3;11
0;14;813;1457;900;1711;42;2;7
0;15;813;3168;900;42;-1;2;7
0;16;1713;0;1493;3210;-2;1;0
0;17;1713;0;1493;2084;-2;2;16
0;18;1713;0;750;2084;-2;3;17
0;19;1713;0;750;1957;35;4;18
0;20;1713;1957;750;127;-1;4;18
0;21;2463;0;743;2084;7;3;17
0;22;1713;2084;1493;843;-2;2;16
0;23;1713;2084;813;843;31;3;22
0;24;2526;2084;680;843;-1;3;22
0;25;1713;2927;1493;283;-1;2;16
0;26;3206;0;1672;3210;-2;1;0
0;27;3206;0;1672;1957;-2;2;26
0;28;3206;0;750;1957;36;3;27
0;29;3956;0;252;1957;-2;3;27
0;30;3956;0;252;1925;37;4;29
0;31;3956;1925;252;32;-1;4;29
0;32;4208;0;670;1957;-2;3;27
0;33;4208;0;670;1858;8;4;32
0;34;4208;1858;670;99;-1;4;32
0;35;3206;1957;1672;1220;-2;2;26
0;36;3206;1957;836;1220;49;3;35
0;37;4042;1957;836;1220;-1;3;35
0;38;3206;3177;1672;33;-1;2;26
0;39;4878;0;960;3210;-2;1;0
0;40;4878;0;960;1723;50;2;39
0;41;4878;1723;960;1236;43;2;39
0;42;4878;2959;960;251;-1;2;39
0;43;5838;0;162;3210;-1;1;0
1;44;0;0;6000;3210;-2;0;
1;45;0;0;1236;3210;-2;1;44
1;46;0;0;1236;1202;-2;2;45
1;47;0;0;802;1202;15;3;46
1;48;802;0;434;1202;-1;3;46
1;49;0;1202;1236;960;44;2;45
1;50;0;2162;1236;960;45;2;45
1;51;0;3122;1236;88;-1;2;45
1;52;1236;0;960;3210;-2;1;44
1;53;1236;0;960;178;-1;2;52
1;54;1236;178;960;1723;51;2;52
1;55;1236;1901;960;1236;46;2;52
1;56;1236;3137;960;73;-1;2;52
1;57;2196;0;983;3210;-2;1;44
1;58;2196;0;983;1917;-2;2;57
1;59;2196;0;850;1917;21;3;58
1;60;3046;0;133;1917;-1;3;58
1;61;2196;1917;983;422;-2;2;57
1;62;2196;1917;642;422;22;3;61
1;63;2838;1917;341;422;-1;3;61
1;64;2196;2339;983;813;32;2;57
1;65;2196;3152;983;58;-1;2;57
1;66;3179;0;792;3210;-2;1;44
1;67;3179;0;792;570;-2;2;66
1;68;3179;0;730;570;23;3;67
1;69;3909;0;62;570;-1;3;67
1;70;3179;570;792;143;-1;2;66
1;71;3179;713;792;1212;16;2;66
1;72;3179;1925;792;1285;-1;2;66
1;73;3971;0;776;3210;-2;1;44
1;74;3971;0;776;794;-2;2;73
1;75;3971;0;742;794;24;3;74
1;76;4713;0;34;794;-1;3;74
1;77;3971;794;776;2396;9;2;73
1;78;3971;3190;776;20;-1;2;73
1;79;4747;0;1163;3210;-2;1;44
1;80;4747;0;1163;1517;-2;2;79
1;81;4747;0;950;1517;52;3;80
1;82;5697;0;213;1517;-1;3;80
1;83;4747;1517;1163;795;33;2;79
1;84;4747;2312;1163;805;-2;2;79
1;85;4747;2312;570;805;25;3;84
1;86;5317;2312;570;805;26;3;84
1;87;5887;2312;23;805;-1;3;84
1;88;4747;3117;1163;93;-1;2;79
1;89;5910;0;90;3210;-1;1;44
2;90;0;0;6000;3210;-2;0;
2;91;0;0;960;3210;-2;1;90
2;92;0;0;960;1925;-2;2;91
2;93;0;0;87;1925;-1;3;92
2;94;87;0;824;1925;38;3;92
2;95;911;0;49;1925;-1;3;92
2;96;0;1925;960;1236;47;2;91
2;97;0;3161;960;49;-1;2;91
2;98;960;0;824;3210;-2;1;90
2;99;960;0;824;1163;-2;2;98
2;100;960;0;795;1163;34;3;99
2;101;1755;0;29;1163;-1;3;99
2;102;960;1163;824;1925;39;2;98
2;103;960;3088;824;122;-1;2;98
2;104;1784;0;1517;3210;-2;1;90
2;105;1784;0;1517;1925;-2;2;104
2;106;1784;0;824;1925;40;3;105
2;107;2608;0;673;1925;-2;3;105
2;108;2608;0;673;1724;17;4;107
2;109;2608;1724;673;201;-1;4;107
2;110;3281;0;20;1925;-1;3;105
2;111;1784;1925;1517;950;53;2;104
2;112;1784;2875;1517;335;-1;2;104
2;113;3301;0;743;3210;-2;1;90
2;114;3301;0;743;821;-2;2;113
2;115;3301;0;702;821;27;3;114
2;116;4003;0;41;821;-1;3;114
2;117;3301;821;743;1904;18;2;113
2;118;3301;2725;743;485;-1;2;113
2;119;4044;0;1925;3210;-2;1;90
2;120;4044;0;1925;1908;-2;2;119
2;121;4044;0;585;1908;0;3;120
2;122;4629;0;900;1908;-2;3;120
2;123;4629;0;900;1711;54;4;122
2;124;4629;1711;900;197;-1;4;122
2;125;5529;0;440;1908;-1;3;120
2;126;4044;1908;1925;824;41;2;119
2;127;4044;2732;1925;478;-1;2;119
2;128;5969;0;31;3210;-1;1;90
3;129;0;0;6000;3210;-2;0;
3;130;0;0;900;3210;-2;1;129
3;131;0;0;900;1711;55;2;130
3;132;0;1711;900;918;1;2;130
3;133;0;2629;900;581;-1;2;130
3;134;900;0;753;3210;-2;1;129
3;135;900;0;753;1014;-1;2;134
3;136;900;1014;753;1914;19;2;134
3;137;900;2928;753;282;-1;2;134
3;138;1653;0;1040;3210;-2;1;129
3;139;1653;0;1040;2034;-2;2;138
3;140;1653;0;763;2034;20;3;139
3;141;2416;0;277;2034;-1;3;139
3;142;1653;2034;1040;1092;2;2;138
3;143;1653;3126;1040;84;-1;2;138
3;144;2693;0;1564;3210;-2;1;129
3;145;2693;0;1564;1989;-2;2;144
3;146;2693;0;750;1989;-2;3;145
3;147;2693;0;750;1957;48;4;146
3;148;2693;1957;750;32;-1;4;146
3;149;3443;0;814;1989;3;3;145
3;150;2693;1989;1564;960;-2;2;144
3;151;2693;1989;1538;960;56;3;150
3;152;4231;1989;26;960;-1;3;150
3;153;2693;2949;1564;261;-1;2;144
3;154;4257;0;1710;3210;-2;1;129
3;155;4257;0;1710;1025;4;2;154
